trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.01, 'e': 0.9999999996592936}",35,0,-186.6586539776809,"{0: 19, 1: 4, 2: 10, 3: 0, 4: 2}",0
64,False,"{'a': 0.01, 'e': 0.9999999996418252}",30,0,-66.05388210689536,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.9999999996234612}",25,15,-64.84788038323356,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 1}",1
66,False,"{'a': 0.01, 'e': 0.9999999996041555}",20,0,-123.53344756568491,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
67,False,"{'a': 0.01, 'e': 0.9999999995838602}",25,0,-111.09576533501635,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
68,False,"{'a': 0.01, 'e': 0.9999999995625244}",30,0,-73.16303608462988,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
69,False,"{'a': 0.01, 'e': 0.9999999995400946}",20,0,-85.00872352906237,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
70,False,"{'a': 0.01, 'e': 0.9999999995165145}",25,0,-76.98728876785034,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.9999999994917257}",20,0,-63.52314717792424,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.9999999994656661}",20,0,-97.35774519833458,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.99999999943827}",20,0,-94.62521502530623,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.9999999994094697}",20,0,-79.05414965199465,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
75,False,"{'a': 0.01, 'e': 0.9999999993791924}",20,10,-49.72433972176492,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.01, 'e': 0.999999999347363}",25,0,-38.880273041052206,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
77,False,"{'a': 0.01, 'e': 0.9999999993139015}",25,0,-103.89046942810687,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
78,False,"{'a': 0.01, 'e': 0.9999999992787245}",25,0,-129.7605427146523,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
79,False,"{'a': 0.01, 'e': 0.9999999992417439}",20,0,-109.15159210951764,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
80,False,"{'a': 0.01, 'e': 0.9999999992028674}",30,0,-68.90428859571328,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
81,False,"{'a': 0.01, 'e': 0.9999999991619974}",25,0,-224.32299152368492,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
82,False,"{'a': 0.01, 'e': 0.9999999991190323}",30,0,-41.96330999757718,"{0: 21, 1: 6, 2: 3, 3: 0, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.9999999990738639}",20,0,-83.16730704949349,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
84,False,"{'a': 0.01, 'e': 0.9999999990263799}",20,0,-62.70336243517015,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.9999999989764614}",25,0,-158.76561325810647,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
86,False,"{'a': 0.01, 'e': 0.9999999989239834}",25,0,-137.33458858379697,"{0: 12, 1: 6, 2: 4, 3: 2, 4: 1}",0
87,False,"{'a': 0.01, 'e': 0.9999999988688149}",30,7,-99.44463902791222,"{0: 12, 1: 7, 2: 2, 3: 1, 4: 1}",1
88,False,"{'a': 0.01, 'e': 0.9999999988108179}",20,0,-130.2218967331175,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
89,False,"{'a': 0.01, 'e': 0.9999999987498471}",20,0,-120.70960034593983,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
90,False,"{'a': 0.01, 'e': 0.9999999986857504}",20,0,-88.89606250891678,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.9999999986183674}",25,0,-198.42351391665235,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
92,False,"{'a': 0.01, 'e': 0.9999999985475296}",30,0,-84.49152023543147,"{0: 17, 1: 5, 2: 8, 3: 0, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.9999999984730599}",20,0,-245.06464589725024,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 6}",0
94,False,"{'a': 0.01, 'e': 0.999999998394772}",25,0,-144.73772506292661,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
95,False,"{'a': 0.01, 'e': 0.9999999983124701}",30,0,-120.79896185042178,"{0: 17, 1: 7, 2: 4, 3: 1, 4: 1}",0
96,False,"{'a': 0.01, 'e': 0.9999999982259486}",20,0,-93.51141842967714,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
97,False,"{'a': 0.01, 'e': 0.9999999981349912}",20,0,-49.17641946198558,"{0: 10, 1: 8, 2: 2, 3: 0, 4: 0}",0
98,False,"{'a': 0.01, 'e': 0.9999999980393701}",30,0,-146.52395367648336,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
99,False,"{'a': 0.01, 'e': 0.9999999979388463}",25,0,-78.35954983493104,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
100,False,"{'a': 0.01, 'e': 0.9999999978331688}",35,0,-100.13370258856094,"{0: 24, 1: 3, 2: 6, 3: 1, 4: 1}",0
101,False,"{'a': 0.01, 'e': 0.999999997722073}",20,0,-145.98797760293448,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
102,False,"{'a': 0.01, 'e': 0.9999999976052811}",25,0,-71.27234503592591,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
103,False,"{'a': 0.01, 'e': 0.9999999974825013}",30,16,-15.55803567861789,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.9999999973534264}",20,0,-111.28966709405891,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
105,False,"{'a': 0.01, 'e': 0.9999999972177336}",20,0,-109.39538663667176,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
106,False,"{'a': 0.01, 'e': 0.9999999970750837}",20,0,-55.71758979628612,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
107,False,"{'a': 0.01, 'e': 0.9999999969251201}",30,19,-19.001426279309367,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.9999999967674678}",20,11,-4.282045617060059,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.9999999966017321}",30,0,-143.19324282176348,"{0: 17, 1: 6, 2: 5, 3: 0, 4: 2}",0
110,False,"{'a': 0.01, 'e': 0.9999999964274993}",30,0,-188.4367790165552,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
111,False,"{'a': 0.01, 'e': 0.9999999962443333}",25,0,-162.0280667069086,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
112,False,"{'a': 0.01, 'e': 0.999999996051776}",20,0,-94.74213129924566,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
113,False,"{'a': 0.01, 'e': 0.9999999958493464}",25,0,-71.05359502584356,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
114,False,"{'a': 0.01, 'e': 0.9999999956365377}",25,0,-80.40303709623237,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
115,False,"{'a': 0.01, 'e': 0.9999999954128183}",25,0,-125.68116227015244,"{0: 12, 1: 2, 2: 9, 3: 2, 4: 0}",0
116,False,"{'a': 0.01, 'e': 0.9999999951776284}",20,10,-14.089648585098494,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.9999999949303802}",20,0,-88.22981124981409,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
118,False,"{'a': 0.01, 'e': 0.9999999946704552}",25,0,-107.219860693371,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
119,False,"{'a': 0.01, 'e': 0.9999999943972036}",20,0,-71.22760046550475,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
120,False,"{'a': 0.01, 'e': 0.999999994109942}",25,9,-4.1940751085892884,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.9999999938079522}",20,3,-200.86227161566478,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 4}",1
122,False,"{'a': 0.01, 'e': 0.9999999934904793}",20,0,-72.67717864681553,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
123,False,"{'a': 0.01, 'e': 0.9999999931567289}",20,0,-36.61206369913664,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
124,False,"{'a': 0.01, 'e': 0.9999999928058669}",30,0,-113.93046449001426,"{0: 20, 1: 5, 2: 3, 3: 0, 4: 2}",0
125,False,"{'a': 0.01, 'e': 0.9999999924370161}",25,0,-31.244857740487056,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
126,False,"{'a': 0.01, 'e': 0.9999999920492536}",20,0,-45.405877635282835,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
127,False,"{'a': 0.01, 'e': 0.9999999916416099}",25,0,-64.72942143258602,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
128,False,"{'a': 0.01, 'e': 0.9999999912130663}",25,0,-139.585610141399,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
129,False,"{'a': 0.01, 'e': 0.9999999907625504}",25,7,-27.90207654320429,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.9999999902889364}",20,0,-94.9274310060645,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
131,False,"{'a': 0.01, 'e': 0.9999999897910393}",25,0,-147.8255670281898,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
132,False,"{'a': 0.01, 'e': 0.9999999892676147}",20,0,-182.904788216601,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
133,False,"{'a': 0.01, 'e': 0.9999999887173535}",20,0,-173.83462986305133,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 2}",0
134,False,"{'a': 0.01, 'e': 0.99999998813888}",20,0,-84.76992356089556,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
135,False,"{'a': 0.01, 'e': 0.9999999875307474}",20,0,-119.92392360990563,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",1
136,False,"{'a': 0.01, 'e': 0.9999999868914351}",30,0,-134.73984447231348,"{0: 15, 1: 6, 2: 8, 3: 0, 4: 1}",0
137,False,"{'a': 0.01, 'e': 0.9999999862193447}",30,0,-203.73200840000305,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
138,False,"{'a': 0.01, 'e': 0.9999999855127955}",20,0,-164.51496962550038,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
139,False,"{'a': 0.01, 'e': 0.9999999847700205}",25,0,-169.50523793464896,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
140,False,"{'a': 0.01, 'e': 0.9999999839891627}",20,0,-90.213315754349,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
141,False,"{'a': 0.01, 'e': 0.9999999831682697}",25,0,-35.01925517526633,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
142,False,"{'a': 0.01, 'e': 0.9999999823052884}",25,9,-97.46983351373366,"{0: 7, 1: 2, 2: 6, 3: 0, 4: 1}",1
143,False,"{'a': 0.01, 'e': 0.999999981398061}",20,0,-38.732660245312196,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
144,False,"{'a': 0.01, 'e': 0.9999999804443193}",20,0,-109.95539729497862,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
